node_id,video_id,title,views,likes,comments,timestamp,category_id,category_name,source_type
5312,qYTaSUB_0iM,"더위에 지친 입맛이 살아나요. ""양념이 남다른"" 인기만점 고추장 멸치무침 1등 레시피🥇",282805,3351,64,1750658403,26,Unknown,전체인기
5313,5IyD9IWHRNY,[#유퀴즈온더블럭] 부모 가슴에 묻은 8살 아이의 장례식💧 장례지도사가 기억하는 가장 슬픈 이별의 순간🍃,603698,5491,327,1750658403,24,Unknown,전체인기
5314,0mp09CDD6cA,[ENG] 이선빈 노이즈 마케팅ㅣ지편한세상 이선빈 편,1303752,21911,1078,1750658403,24,Unknown,전체인기
5315,hljXtdjCDrE,[#WSWF] 메가 크루 미션 글로벌 대중 평가 | OSAKA Ojo Gang(오사카 오죠 갱),7031503,0,52321,1750658403,24,Unknown,전체인기
5316,6Hq96MZqego,좋게 헤어진 사이,451254,5687,391,1750658403,24,Unknown,전체인기
5317,RXVNkwHO_1U,쉽지 않네,898971,15199,949,1750658403,23,Unknown,전체인기
5318,_xOnGP_Js1A,[#WSWF] 메가 크루 미션 글로벌 대중 평가 | BUMSUP(범접),12701600,0,92735,1750658403,24,Unknown,전체인기
5319,j43QeLwRNAY,[UFC] 고석현 vs 오반 엘리엇,1472002,24115,7555,1750658403,17,Unknown,전체인기
5320,BPHO9bvSixQ,비싼 숙소 대신 12만원짜리 봉고차 로드트립 - 오키나와(2),842267,13689,1145,1750658403,19,Unknown,전체인기
5321,C8vY-ShpaPA,드디어 여름이 온 그로우어가든!!! 신규 한정 작물이랑 펫 뽑아보자!!!!!!! (로블록스 그로우어가든),93041,2828,226,1750658404,20,Gaming,게임인기
5322,WQP1r2izHXo,"""역대급 폼이다"" 클리드 잡고 100점까지 한번에 뚫어버린 이상호!",227235,1519,151,1750658404,20,Gaming,게임인기
5323,zApja5dVvOU,"메이플..""참 괜찮은 게임이네..""",121776,1120,132,1750658404,20,Gaming,게임인기
5324,wGtSel_nkuw,역대 가장 홍구를 괴롭혔던 천적 ... 지옥에서 다시 돌아온 '그 상대' ;;;,144681,1678,326,1750658404,20,Gaming,게임인기
5325,S3wu2LGglj4,토레스가 확실히 달라졌어요 금카만 ㅎㅎ;,108317,1063,86,1750658404,20,Gaming,게임인기
5326,XX_EcCrQ6Ro,25.06.22(일) 【 인피쉰 생방송 다시보기 】 스타 빨무 스타크래프트 Starcraft,102055,3543,2,1750658404,20,Gaming,게임인기
5327,_dCntIJyCpU,동숲에서 가장 만들기 어려운 DIY로 100만벨을 벌어보자!,179887,4342,409,1750658404,20,Gaming,게임인기
5328,B3KS9vMXzg4,몇천만원치 카데나 코디 해줬습니다ㄷㄷ,114969,613,88,1750658404,20,Gaming,게임인기
5329,bOzKnG7lmO8,역대급 대규모 여름 업데이트 총정리🔥 이것만 보면 끝! [그로우 어 가든],87762,800,223,1750658404,20,Gaming,게임인기
5330,ZO4FmGjABNc,"챌린저스 신직업""렌"" 1등 찍을 때까지 무한 과금 갑니다 [팡이요,  메이플스토리]",189458,1000,228,1750658404,20,Gaming,게임인기
5331,rBoqOeIeNZY,이러고 철퇴를 구하라고요..? (1편),135690,3136,408,1750658404,20,Gaming,게임인기
5332,PtuZmOxw58A,"7000억이 넘는 메이플 아이템, 본인 옵션 띄운 사람이 가져 갑니다... [메이플 잠재 멸망전]",126479,869,117,1750658404,20,Gaming,게임인기
5333,81tjc6CTzm0,메접 직행열차 시한폭탄 돌리기ㅋㅋㅋㅋ,156147,897,107,1750658404,20,Gaming,게임인기
5334,Rks7q4LI7Qg,우리중에 일부러 트롤하는 스파이가 있다고? 레전드 반전..,93128,1562,200,1750658404,20,Gaming,게임인기
5335,kGg8QWoS_gA,"""해기야 해줘..""  통나무 혼자 드는 해기ㅋㅋㅋ",135718,850,106,1750658404,20,Gaming,게임인기
5336,TigolmpDeMA,승리의 열기를 가지고｜2025 T1scord EP.5,502459,14130,1432,1750658404,20,Gaming,게임인기
5337,T7oYd7QdFMk,※3년만에 돌아온※ 사진만 보고 위치 맞히는 게임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,203404,4165,715,1750658404,20,Gaming,게임인기
5338,1gu3IVu4yX0,20분 4코어 나오는거 아니야 ?,181877,1221,207,1750658404,20,Gaming,게임인기
5339,DeXb3JIJWKc,최진혁 배우 직접 오셨다! 본캐 폭풍현질 초대박 떴다!,137231,1244,238,1750658404,20,Gaming,게임인기
5340,jHMQqfIwGPI,10배로 좋은 신규 레인보우 등급 브레인롯 등장!! 신규 시크릿과 희귀 브레인롯 싹다 얻기 도전! (로블록스 브레인롯훔치기),139113,2805,199,1750658404,20,Gaming,게임인기
5341,VnAFNXqOueM,[공식Live] 2025 로아온 썸머 / 2025 LOA ON SUMMER - 여름 업데이트 프리뷰,699149,2736,684,1750658404,20,Gaming,게임인기
5342,03wE0v46UN0,괴물섬에서 살아남기… 이탈리안 브레인 롯이 나타났다ㄷㄷ [괴물섬 생존기],87986,917,120,1750658404,20,Gaming,게임인기
5343,wzldyD3TmH0,남들은 잘 모르는 개꿀잼 마크 모드들 발굴해왔습니다 ㅋㅋㅋ,112240,6008,425,1750658404,20,Gaming,게임인기
5344,j6F0jAstIUk,서커스 암베사,363589,2225,292,1750658404,20,Gaming,게임인기
5345,HTKOMc5D7KI,오함마의 주인,197431,1874,317,1750658404,20,Gaming,게임인기
5346,JC_XHjtE5GU,다산신도시 다산피아노이야기음악학원 다산가람초 5 -김민건 이건호,0,0,0,1750658405,10,Music,키워드:학원
5347,zbgsqxLZGLo,욕실시공리모델링연습  - 이룸인테리어기술학원,9,0,0,1750658405,27,Unknown,키워드:학원
5348,a4z9vII6usk,친구따라 피아노 학원 따라간애,8,2,0,1750658405,22,Unknown,키워드:학원
